City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.0833,83.88,69,95,11.77,overcast clouds
1,Auki,SB,-8.7676,160.7034,79.41,83,100,6.31,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,41.11,82,0,14.09,clear sky
3,Dekar,BW,-21.5333,21.9333,55.08,54,0,8.77,clear sky
4,Hermanus,ZA,-34.4187,19.2345,57.79,50,67,7.99,broken clouds
5,Port Elizabeth,ZA,-33.918,25.5701,59.09,34,37,8.21,scattered clouds
6,Rikitea,PF,-23.1203,-134.9692,74.53,68,61,2.89,broken clouds
7,Ca Mau,VN,9.1769,105.15,80.55,81,99,12.75,overcast clouds
8,Manado,ID,1.487,124.8455,81.37,69,20,4.16,few clouds
9,San Patricio,US,28.017,-97.5169,82.87,75,68,12.08,broken clouds
10,Jenison,US,42.9072,-85.792,70.7,82,100,1.99,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,49.48,80,12,1.72,few clouds
12,Lang Son,VN,21.8333,106.7333,75.0,89,95,6.33,moderate rain
13,Beringovskiy,RU,63.05,179.3167,32.09,98,100,10.4,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,65.03,33,69,9.55,broken clouds
15,Busselton,AU,-33.65,115.3333,46.04,60,86,17.11,overcast clouds
16,Cidreira,BR,-30.1811,-50.2056,57.76,69,60,26.37,broken clouds
17,Kapaa,US,22.0752,-159.319,81.48,68,40,3.0,scattered clouds
18,Pangai,TO,-19.8,-174.35,77.88,82,96,6.53,overcast clouds
19,Bluff,NZ,-46.6,168.3333,49.8,62,93,7.7,overcast clouds
20,Namatanai,PG,-3.6667,152.4333,80.13,84,100,3.83,overcast clouds
21,Mattru,SL,7.6244,-11.8332,76.71,95,23,2.33,moderate rain
22,Hamilton,US,39.1834,-84.5333,82.15,68,90,4.47,overcast clouds
23,Upernavik,GL,72.7868,-56.1549,27.43,88,14,10.02,few clouds
24,Avarua,CK,-21.2078,-159.775,82.45,78,75,10.36,broken clouds
25,Cape Town,ZA,-33.9258,18.4232,65.08,42,57,8.84,broken clouds
26,Ushuaia,AR,-54.8,-68.3,38.89,97,100,6.53,overcast clouds
27,Dingle,PH,10.9995,122.6711,83.39,73,2,3.76,clear sky
28,Puerto Ayora,EC,-0.7393,-90.3518,74.55,89,66,5.01,broken clouds
29,Provideniya,RU,64.3833,-173.3,35.71,75,75,17.9,broken clouds
30,Albany,US,42.6001,-73.9662,65.08,57,98,8.05,overcast clouds
31,Alenquer,BR,-1.9417,-54.7383,79.14,82,93,3.2,overcast clouds
32,Asau,RO,46.4333,26.4,57.96,100,80,9.82,light rain
33,Qaanaaq,GL,77.484,-69.3632,25.48,82,4,4.85,clear sky
34,Moron,AR,-34.6534,-58.6198,54.97,94,54,5.01,broken clouds
35,Klaksvik,FO,62.2266,-6.589,41.92,77,97,5.3,overcast clouds
36,Ponta Do Sol,PT,32.6667,-17.1,65.03,72,93,10.69,overcast clouds
37,Sao Filipe,CV,14.8961,-24.4956,73.2,79,2,10.74,clear sky
38,Saint-Philippe,RE,-21.3585,55.7679,69.35,80,96,13.29,light rain
39,Ilulissat,GL,69.2167,-51.1,41.02,36,20,16.11,few clouds
40,Tuktoyaktuk,CA,69.4541,-133.0374,33.76,88,62,9.01,broken clouds
41,East London,ZA,-33.0153,27.9116,64.22,29,89,7.45,overcast clouds
42,Zeya,RU,53.75,127.2667,47.16,94,100,9.75,light rain
43,Alta Floresta,BR,-9.8756,-56.0861,74.93,86,78,3.29,broken clouds
44,Verkhnevilyuysk,RU,63.4453,120.3167,50.85,35,3,4.54,clear sky
45,Freeport,US,40.6576,-73.5832,84.78,70,1,17.0,clear sky
46,Kuhdasht,IR,33.535,47.6061,63.32,44,0,2.75,clear sky
47,Bethel,US,41.3712,-73.414,79.38,64,40,10.36,scattered clouds
48,Hilo,US,19.7297,-155.09,82.13,78,90,13.8,light rain
49,Comodoro Rivadavia,AR,-45.8667,-67.5,55.9,60,91,27.18,overcast clouds
50,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,78,26,2.73,scattered clouds
51,Zarubino,RU,42.63,131.0922,55.87,78,92,3.85,overcast clouds
52,Saint George,US,37.1041,-113.5841,77.47,14,1,5.01,clear sky
53,Pskov,RU,57.8136,28.3496,45.34,94,91,10.16,overcast clouds
54,Touros,BR,-5.1989,-35.4608,77.67,85,4,12.57,clear sky
55,Yar-Sale,RU,66.8333,70.8333,40.17,76,66,22.73,light rain
56,Calvinia,ZA,-31.4707,19.776,57.22,26,15,9.6,few clouds
57,Kozhva,RU,65.1073,57.0459,36.32,56,50,6.49,scattered clouds
58,Pochutla,MX,15.7432,-96.4661,85.05,59,10,5.39,clear sky
59,Salalah,OM,17.0151,54.0924,82.49,78,75,3.44,broken clouds
60,Lasa,IT,46.6166,10.7002,45.36,96,100,4.52,overcast clouds
61,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.73,51,61,14.92,broken clouds
62,Aksarka,RU,66.5606,67.7975,36.1,56,28,25.59,scattered clouds
63,Tabou,CI,4.423,-7.3528,80.4,84,42,4.47,scattered clouds
64,Charters Towers,AU,-20.1,146.2667,71.29,61,0,13.35,clear sky
65,Amapa,BR,1.0,-52.0,73.44,98,100,2.3,overcast clouds
66,Vardo,NO,70.3705,31.1107,35.44,65,44,7.14,scattered clouds
67,Waslala,NI,13.2333,-85.3833,77.25,73,100,5.19,overcast clouds
68,Longyearbyen,SJ,78.2186,15.6401,26.44,68,20,8.05,few clouds
69,Sidney,AU,-33.8679,151.2073,65.35,93,40,3.0,scattered clouds
70,Tramagal,PT,39.45,-8.25,57.56,75,11,3.8,few clouds
71,Ostrovnoy,RU,68.0531,39.5131,33.26,67,8,4.14,clear sky
72,Necochea,AR,-38.5473,-58.7368,52.03,75,53,12.03,broken clouds
73,Barrow,US,71.2906,-156.7887,33.82,80,90,17.27,overcast clouds
74,Regina,CA,50.4501,-104.6178,56.03,71,94,18.01,overcast clouds
75,Lagoa,PT,39.05,-27.9833,60.62,65,57,6.85,broken clouds
76,Emerald,AU,-23.5333,148.1667,71.35,54,5,9.46,clear sky
77,Yulara,AU,-25.2406,130.9889,69.64,30,6,11.5,clear sky
78,Nikki,BJ,9.9401,3.2108,76.42,78,32,10.27,scattered clouds
79,Victoria,HK,22.2855,114.1577,90.25,82,50,1.01,scattered clouds
80,Portland,US,45.5234,-122.6762,69.57,70,75,1.99,broken clouds
81,Dikson,RU,73.5069,80.5464,28.02,89,100,15.21,overcast clouds
82,Bengkulu,ID,-3.8004,102.2655,76.1,87,82,4.09,broken clouds
83,Vaitape,PF,-16.5167,-151.75,81.48,75,88,12.62,light rain
84,Mega,ET,4.05,38.3,58.14,83,91,13.11,overcast clouds
85,Puerto Madryn,AR,-42.7692,-65.0385,55.33,67,64,12.95,broken clouds
86,Roald,NO,62.5833,6.1333,50.05,93,90,0.0,overcast clouds
87,Altamira,BR,-3.2033,-52.2064,79.48,72,86,3.53,overcast clouds
88,Adwa,ET,14.1646,38.8955,71.4,28,22,4.65,few clouds
89,Viedma,AR,-40.8135,-62.9967,51.24,62,39,8.61,scattered clouds
90,Plouzane,FR,48.3833,-4.6167,50.09,76,40,22.37,scattered clouds
91,Ust-Koksa,RU,50.2696,85.6108,50.02,74,6,2.51,clear sky
92,Samana,DO,19.2056,-69.3369,75.65,89,11,10.09,few clouds
93,Warrington,GB,53.3925,-2.5802,47.86,97,86,1.01,light rain
94,New Norfolk,AU,-42.7826,147.0587,52.75,55,97,3.51,overcast clouds
95,Honningsvag,NO,70.9821,25.9704,37.15,60,20,9.46,light rain
96,Ylivieska,FI,64.0833,24.55,44.89,99,100,4.21,overcast clouds
97,Kavieng,PG,-2.5744,150.7967,82.2,77,100,5.23,overcast clouds
98,Ajaccio,FR,42.0,8.9167,57.36,90,75,8.7,broken clouds
99,Chokurdakh,RU,70.6333,147.9167,28.44,95,93,2.77,overcast clouds
100,Cururupu,BR,-1.8283,-44.8683,77.13,89,99,3.38,overcast clouds
101,Wattegama,LK,6.7989,81.4808,78.22,79,99,10.04,overcast clouds
102,Vaini,TO,-21.2,-175.2,73.56,88,75,16.11,light rain
103,Arraial Do Cabo,BR,-22.9661,-42.0278,74.98,80,100,9.28,light rain
104,Tazovskiy,RU,67.4667,78.7,42.13,90,77,8.77,broken clouds
105,Mehamn,NO,71.0357,27.8492,35.11,68,47,4.59,scattered clouds
106,Namibe,AO,-15.1961,12.1522,73.71,72,44,4.9,scattered clouds
107,Cairns,AU,-16.9167,145.7667,76.06,89,90,12.66,overcast clouds
108,Nuevo Progreso,MX,23.1667,-97.95,89.6,68,5,5.01,clear sky
109,Kasongo,CD,-4.45,26.6667,69.62,86,84,1.77,broken clouds
110,Maloy,NO,61.9353,5.1136,50.0,95,97,4.0,light rain
111,Kodiak,US,57.79,-152.4072,56.71,54,1,6.91,clear sky
112,Dzhebariki-Khaya,RU,62.2167,135.8,52.21,41,100,7.45,overcast clouds
113,Datia,IN,25.6667,78.4667,84.04,41,0,6.87,clear sky
114,Kirakira,SB,-10.4544,161.9205,77.04,91,100,7.52,overcast clouds
115,Saskylakh,RU,71.9167,114.0833,36.95,98,100,16.17,overcast clouds
116,Samalkha,IN,29.2333,77.0167,77.88,42,1,8.16,clear sky
117,Carnarvon,AU,-24.8667,113.6333,60.87,100,40,4.61,scattered clouds
118,Yellowknife,CA,62.456,-114.3525,61.29,46,19,7.0,few clouds
119,Florianopolis,BR,-27.6146,-48.5012,57.4,54,0,9.15,clear sky
120,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,70,67,5.79,broken clouds
121,Thinadhoo,MV,0.5333,72.9333,83.5,72,98,13.04,overcast clouds
122,Morro Bay,US,35.3658,-120.8499,78.75,84,18,5.01,few clouds
123,Chihuahua,MX,28.5,-106.0,92.23,8,7,5.32,clear sky
124,Puerto Montt,CL,-41.4698,-72.9447,50.83,94,75,8.41,broken clouds
125,Coihaique,CL,-45.5752,-72.0662,53.55,66,40,9.22,scattered clouds
126,Sitka,US,57.0531,-135.33,51.69,66,75,4.61,light rain
127,Airai,TL,-8.9266,125.4092,66.11,57,68,2.8,broken clouds
128,Karratha,AU,-20.7377,116.8463,72.61,54,91,13.31,overcast clouds
129,Khatanga,RU,71.9667,102.5,37.18,96,100,7.54,overcast clouds
130,Caravelas,BR,-17.7125,-39.2481,76.12,86,50,10.65,scattered clouds
131,Changli,CN,39.7042,119.1506,69.96,14,79,11.9,broken clouds
132,Ginda,IN,30.6945,78.4932,55.47,71,7,6.53,clear sky
133,Atar,MR,20.5169,-13.0499,89.15,20,2,2.91,clear sky
134,Nikolskoye,RU,59.7035,30.7861,52.39,94,77,14.5,light rain
135,Chuy,UY,-33.6971,-53.4616,54.36,87,100,22.21,overcast clouds
136,Bredasdorp,ZA,-34.5322,20.0403,57.27,45,50,7.02,scattered clouds
137,Cockburn Town,TC,21.4612,-71.1419,78.31,77,7,21.7,clear sky
138,Prachuap Khiri Khan,TH,12.2167,99.75,82.69,75,97,5.39,overcast clouds
139,Savalou,BJ,7.9281,1.9756,77.67,76,47,5.82,scattered clouds
140,Teruel,ES,40.6667,-0.6667,48.16,88,100,6.73,overcast clouds
141,Atuona,PF,-9.8,-139.0333,80.02,78,35,20.13,light rain
142,Talnakh,RU,69.4865,88.3972,33.1,99,100,6.44,overcast clouds
143,Aklavik,CA,68.2191,-135.0107,39.92,81,93,20.54,overcast clouds
144,Plettenberg Bay,ZA,-34.0527,23.3716,64.71,39,42,8.25,scattered clouds
145,Hit,IQ,33.6416,42.8251,76.37,26,28,7.14,scattered clouds
146,Jamestown,US,42.097,-79.2353,72.72,82,90,9.22,overcast clouds
147,Ribeira Grande,PT,38.5167,-28.7,60.62,63,95,4.14,overcast clouds
148,Mandalgovi,MN,45.7625,106.2708,38.52,46,9,17.47,clear sky
149,Chumikan,RU,54.7183,135.315,32.45,96,100,27.04,snow
150,Tahta,EG,26.7693,31.5021,74.39,33,0,12.5,clear sky
151,Cabo San Lucas,MX,22.8909,-109.9124,87.8,54,20,3.44,few clouds
152,Constitucion,CL,-35.3333,-72.4167,54.14,76,65,8.52,broken clouds
153,Ancud,CL,-41.8697,-73.8203,53.13,94,66,6.6,broken clouds
154,Nador,MA,35.174,-2.9287,62.85,51,0,6.85,clear sky
